* Ensemble de règles qui régissent les rapports des membres d’une même société. Qui suis-je ? 	Le Droit.
** Définir le cas de force majeure.	C’est un événement imprévisible, irrésistible, insurmontable et extérieur à la personne qui le subi. Ex : incendie, inondations, ouragans,…
* Préciser ce qu’est ce qu’un FAI.	Le fournisseur d’accès à internet (FAI), est une personne physique ou morale dont l’activité est de fournir, à l’utilisateur, l’accès à des services de communication publique en ligne (définition issue de l’article 6 de la loi LCEN de 2004) : courriel, sites web.
** Si un internaute fait part à un hébergeur d’un contenu illicite sur un site qu’il héberge, préciser le délai d’intervention de l’hébergeur pour retirer les contenus illicites.	Il a environ 24h pour air. Le juge exige une prompte réaction.
** Présenter l’obligation principale du concepteur de logiciel.	Il supporte l’obligation d’information du client. Cela signifie qu’il doit remplir une obligation de renseignement, une obligation de conseil et une obligation de mise en garde
*** La société Be-Tech livre le logiciel au client avec trois mois de retard. Son client souhaite engager une action en justice. Laquelle ?	Le retard de livraison sera assimilé à une mauvaise exécution du contrat. Par conséquent, le client pourra engager une action civile sur le fondement de la responsabilité contractuelle de Be-Tech. Cas pratique attendu.
* Définir le contrat solennel.	C’est un contrat formé lorsque les parties échangent leur consentement par écrit. L’écrit est une condition de validité du contrat.
* Définir le contrat à exécution instantanée.	C’est un contrat dont la réalisation s’effectue au jour de la conclusion du contrat c’est- à-dite immédiatement.
* Définir le contenu du contrat.	Le contenu du contrat correspond à l'ensemble des obligations contractuelles qui ont été librement consenties et explicitées par les parties.
** Expliquer ce que signifie le principe de l’intangibilité du contrat.	Cela signifie qu’une partie au contrat ne peut pas modifier le contrat sans l’accord de l’autre partie.
* Définir l’exécution forcée du contrat	C’est une sanction prononcée par le juge qui oblige la partie, qui n’a pas exécuté ou qui a mal exécuté le contrat, à l’exécuter de force afin de respecter ses engagements.
* Définir le terme « obligation ».	C’est le lien juridique par lequel une personne, le débiteur, est tenue d’une prestation envers une autre personne, le créancier, en vertu d’un contrat ou de la loi.
* Préciser ce qu’est une obligation de moyen.	Il s’agit de l’obligation de tout mettre en œuvre pour atteindre un résultat.
* Certains contrats sont obligatoires. Lesquelles ?	Les contrats d’assurance.
*** 	Distinguer résolution et résiliation. 2 sanctions prononcées par le juge : La résolution est prononcée en cas de problème dans l’exécution d’un contrat à exécution instantanée. Elle a un effet rétroactif. La résiliation est prononcée en cas de problème dans l’exécution d’un contrat à exécution successive. Elle a un effet pour l’avenir.
** Lister les cas où la partie fautive peut s’exonérer de sa responsabilité civile contractuelle.	Il est possible de s’exonérer de sa responsabilité en rapportant la preuve d’un cas de force majeure, de la faute de la victime ou de son insanité d’esprit, de la faute d’un tiers.
* Déterminer si le cahier des charges est une obligation légale.	Non, c’est un document fortement conseillé. Mais s’il est élaboré, il devient un des éléments de la relation contractuelle des parties.
* Définir le nom de domaine.	C’est la dénomination d’un site internet. Il est la représentation alphanumérique de l’adresse IP de l’hébergeur du site.
** Il existe deux catégories de nom de domaine de 1er niveau (TLD, ou Top Level Domain). Préciser lesquels.	Il existe les extensions génériques, les gTLD (.com, .net, .edu,…) et les extensions territoriales, les ccTLD, (.fr, .ca, .us,…).
** Présenter le cybersquatting.	Le cybersquatting est la situation dans laquelle un tiers enregistre un nom de domaine faisant référence à une marque ou une entreprise concurrente dans le but de profiter de sa notoriété ou pour le revendre.
* Indiquer les techniques permettant de protéger efficacement un nom de domaine.	La meilleure technique est d’enregistrer son nom de domaine en tant que marque auprès de l’INPI.
* Déterminer l’action en justice qui peut être engagée en cas de conflit entre deux noms de domaine.	Seule l’action en concurrence déloyale permettra de résoudre le conflit.
*** Lister les mentions légales la loi LCEN de 2004 impose lors la mise en ligne d’un site de ventes en ligne, en France.	Doivent apparaître les informations concernant le propriétaire du site, le concepteur du site, l’hébergeur du site, les conditions générales et spécifiques de vente en ligne et les mesures de protections mises en place pour protéger les données à caractère personnel.
* Préciser la signification de l’acronyme EDI.	EDI signifie Échange de Données Informatisées. C’est un outil de communication entre l’entreprise et ses partenaires notamment ses fournisseurs.
** L’envoi d’un accusé réception après validation d’une commande sur internet entre professionnels n’est pas obligatoire. Vrai ou Faux ?	Faux, le vendeur doit toujours envoyer un accusé réception dans un délai raisonnable à son client, quelque soit son statut.
** Indiquer la compétence du juge français en matière de litige sur Internet.	Dès lors qu’un produit ou service est vendu en France, le juge français peut être saisi. Toutefois, l’application de la décision à l’étranger reste incertaine.
** Expliquer ce qu’est un consommateur au sens du code de la consommation.	 En droit français, est considérée comme un consommateur, 1/ une personne physique qui se procure un bien pour un usage non-professionnel, 2/ un professionnel qui agit en dehors de sa sphère de compétences.
* Indiquer le délai minimum légal de rétractation auquel à droit un consommateur ayant effectué un achat en ligne.	Le délai de rétractation minimum légal pour les transactions en ligne est de 14 jours.
* Citer trois obligations du cybercommerçant.	Obligation de délivrance du bien dans les délais et les modalités prévus, obligation de sécurité de la chose vendue, obligation de garantie contre les vices cachés, protection contre les clauses abusives.
** Expliquer ce qu’est une e-marketplace.	C’est le nom donné à un site commercial (B2B mais aussi B2C et même C2C) offrant, sous la forme d´une plate-forme technique, des mécanismes de transaction sécurisés permettant aux acheteurs de comparer et sélectionner différentes offres de fournisseurs pour des biens ou des services.
** Présenter les différentes formes de La responsabilité civile.	La responsabilité contractuelle et la responsabilité extracontractuelle. + Explications
*** Mme Mayer a été mordue par un reptile au zoo. Depuis elle est alitée. Déterminer l’action en justice qu’elle peut engager à l’encontre du parc animalier.	Fait générateur : la morsure, Dommage : corporel, Lien de causalité : état de santé de Mme Mayer s’est dégradée à la suite de cette morsure. Ccl : Elle peut donc engager la responsabilité extracontractuelle du zoo sur le fondement de la responsabilité du fait des choses que l’on a sous sa garde.
** Déterminer l’action en justice qu’un client pour engager lorsqu’un salarié de chez Darty lui fait subir un préjudice.	Il faut engager la responsabilité civile extracontractuelle de DARTY sur le fondement de la responsabilité du fait d’autrui (1242du Code Civil)
* Préciser ce qu’est ce qu’un hébergeur.	Il est un fournisseur de services de stockage et de gestion de contenus permettant à un fournisseur de contenus de rendre ses pages accessibles au public. C’est un prestataire technique qui n’est pas le créateur des contenus qu’il héberge.
** Un FAI ou un hébergeur est assimilable juridiquement à un éditeur de contenu. Vrai ou Faux ?	FAUX, c’est un simple intermédiaire technique, qui met des outils à disposition des utilisateurs mais ne participe pas à la rédaction de contenus.
** Déterminer l’étendue de l’obligation d’information du concepteur de logiciel.	Il a une obligation de moyen c’est-à-dire qu’il doit tout mettre en œuvre pour atteindre son objectif. Cette obligation est aussi allégée par l’obligation de collaboration du client.
** Lister les coûts engagés par l’entreprise qui créé un site internet.	1/ Le coût du service réalisé par le bureau d’enregistrement (registrar domain) pour l’enregistrement du nom de domaine auprès de l’AFNIC, 2/ Le coût de conception du site, 3/ Le coût ensuite de maintenance du site.
* Définir le contrat synallagmatique.	C’est une forme de contrat qui créé des obligations réciproques.
* Définir le contrat à titre gratuit.	C’est un contrat qui n’est assorti d’aucune contrepartie (intention libérale).
** Expliquer ce que signifie le principe de l’irrévocabilité du contrat.	Cela signifie qu’une partie au contrat ne peut mettre unilatéralement fin au contrat. L’accord de l’autre partie est nécessaire.
* Donner la signification de l’acronyme BODACC.	Bulletin officiel des annonces civiles et commerciales.
* Définir l’obligation de résultat.	C’est l’obligation d’atteindre l’objectif fixé.
* Préciser et justifier si le contrat est un acte ou un fait juridique.	Le contrat est un acte juridique. Les partie s’engagent volontairement dans le contrat et en acceptent les conséquences.
* Certaines choses ne peuvent pas faire l’objet d’un contrat. On parle de choses hors le commerce. Citer en deux exemples.	La gestion pour autrui (mères porteuses), la vente d’organes la vente d’armes ou de drogues,…
*** Citer les trois obligations qui naissent lors de l’exécution d’un contrat.	 Le contrat a force obligatoire entre les parties. Une partie ne peut pas rompre le contrat ou le modifier unilatéralement. Les parties doivent exécuter le contrat de bonne foi.
** Préciser l’étendue du pouvoir d’interprétation et d’immixtion du juge dans le contrat.	En principe, le juge n’interprète pas le contrat. Il recherche la commune intention des parties. Toutefois, si les parties sont en litige ou si le contrat comporte des lacunes créant un déséquilibre manifeste à l’égard de la partie faible, alors le juge peut interpréter, voire s’immiscer dans le contrat.
* Distinguer maître d’œuvre et maître d’ouvrage.	Le maître d’ouvrage est le client tandis que le maître d’œuvre est le prestataire de service.
* Citer le nom de l’organisme international assurant la gestion des noms de domaine (DNS).	C’est l’ICANN. (Internet Corporation for Assigned Names and Numbers)
** Présenter les règles d’attribution des noms de domaine (NdeD).	Il faut d’abord choisir un NdeD respectant les règles de syntaxe sur internet. Puis il faut vérifier qu’il est libre sur la base de données choisie (Internic ou Whois). Si c’est le cas, la règle est alors celle du « 1er arrivée, 1er servi ». Il faut alors procéder rapidement à l’enregistrement du NdeD.
*** En cas de conflit entre un nom de domaine et une marque, déterminer l’issue du conflit si la marque a été déposée avant le nom de domaine.	On applique la règle de l’antériorité. Si la marque a été déposée à l’INPI avant que le nom de domaine n’ait été déposé à l’AFNIC, alors le propriétaire de la marque peut demander la restitution du nom de domaine à son profit en engageant une action en contrefaçon.
*** En cas de conflit entre deux noms de domaine, il est possible d’engager une action en contrefaçon. Vrai ou faux ? (Justifier)	Faux, seuls les titulaires d’une marque peuvent engager cette action. Il faut donc faire enregistrer son nom de domaine en tant que marque pour que l’action en contrefaçon soit possible.
** Lister les sanctions qui peuvent être prononcées par le juge à l’encontre de l’auteur du dommage, en cas de conflit entre deux noms de domaine.	Le juge peut décider la fermeture du site internet, des dommages et intérêts à hauteur du préjudice subi et/ou la publication de la sanction.
* Définir le commerce électronique.	L’article 14 alinéa 1er de la loi LCEN de 2004 le définit comme étant « l’activité économique par laquelle une personne propose ou assure à distance par voie électronique la fourniture de biens ou de services. »
* Indiquer si le contrat électronique est soumis aux conditions de formations des contrats (prévu à l’article 1128 du code civil).	Oui, comme tout contrat.
*** Préciser la loi applicable au contrat électronique entre un vendeur français et un client européen.	On applique la loi du pays de l’e-commerçant si les 2 parties sont d’accord. Sinon, il faut se référer au contrat.
** L'usage d'un nom de domaine permet son opposabilité aux marques déposées ultérieurement. Vrai ou faux ? Justifier.	Vrai, les noms de domaine constituent une antériorité opposable au dépôt de la marque, dès lors que le nom de domaine a été déposé antérieurement à la marque et qu'il a fait l'objet d'une exploitation effective.
** Présenter l’obligation générale d’information qui pèse sur le vendeur 	(article L111-1 du code de la consommation). Tout vendeur doit être en mesure d’indiquer au client son identité, les caractéristiques du produit et les prix (en €, TTC), lui communiquer les conditions de vente, de paiement, de livraison, de service après-vente.
*** Arthur vient d’acheter en magasin un nouveau jeu vidéo. Mais il regrette. Sur internet, il est vendu moins cher. Déterminer s’il peut se rétracter.	Le délai de rétractation ne s’applique que sur les ventes en ligne. Arthur ne peut donc pas se rétracter. Cas pratique attendu.
** Préciser ce qu’est ce qu’une clause abusive dans un contrat de vente en ligne.	C’est une clause qui a pour effet de créer un déséquilibre significatif entre les droits et les obligations des parties au contrat. Cette clause est alors réputée non écrite par le juge.
** Présenter les conditions de formation de tout contrat, imposées par l’article 1128 du code civil.	L’article 1128 du code civil pose 3 conditions à la validité d’un contrat : les parties doivent être capables et donner un consentement libre et non vicié. Le contenu du contrat doit être licite et certain.
* Présenter les conditions de mise en œuvre de la responsabilité civile contractuelle.	En cas de mauvaise exécution ou d’inexécution d’un contrat.
* Lister les éléments de preuve à rapporter pour obtenir réparation en matière de responsabilité civile extracontractuelle.	Il faut rapporter la preuve de l’existence d’une faute, d’un dommage et d’un lien de causalité entre la faute et le dommage.
*** Julie, 2 ans, pédale sur la route. Un automobiliste fait alors un écart pour éviter la fillette mais percute Geneviève. Expliquer comment Geneviève peut obtenir réparation.	Elle peut engager la responsabilité extracontractuelle de l’automobiliste et celle des parents de la fillette pour défaut de surveillance. Cas pratique attendu.
* Déterminer dans quelle situation la responsabilité des intermédiaires techniques peut être engagée.	S’ils s’immiscent dans la rédaction des contenus.
** Déterminer si un FAI qui publie des informations le concernant sur son propre site internet peut- être assimilé à un éditeur de contenu.	OUI, le FAI est alors responsable des informations qu’il diffuse sur ce site.
*** Indiquer qui réalise la recette définitive lors de la conception d’un logiciel.	La recette définitive est la dernière étape de la réalisation du logiciel. Le client réalise cette dernière phase de teste pour vérifier son bon fonctionnement. S’il est satisfait, il prend possession du logiciel. Sinon, il demande des actions correctives.
* Présenter le droit de propriété.	C’est le droit de jouir et disposer des choses de la manière la plus absolue, pourvu qu'on n'en fasse pas un usage prohibé par les lois ou par les règlements. (article 544 du code civil)
* Expliquer les modalités de protection des biens immatériels.	Ils sont protégés à l’aide du droit de propriété intellectuelle.
** Déterminer si une idée est protégeable en tant qu’œuvre de l’esprit.	Les idées, en elles-mêmes, ne sont pas susceptibles d'une appropriation privative. Le droit d'auteur ne protège que les œuvres de l'esprit qui constituent des créations de forme originale.
* Citer deux pays dans lesquels le logiciel est brevetable.	Les Etats-Unis et le Japon.
* Envisager les conséquences de l’extinction des droits d’auteur sur une œuvre littéraire et artistique.	L’œuvre tombe dans le domaine public et peut être exploitée par n’importe qui. L’auteur conserve le droit à la paternité de l’œuvre mais perd ses droits patrimoniaux sur l’œuvre.
* Nommer le logiciel créé par des salariés pour le compte de leur employeur.	Une œuvre collective.
* Citer trois éléments d’un logiciel qui ne sont pas protégeables par le droit d’auteur. 	Ne sont pas protégeables par le droit d’auteur les langages de programmation, les algorithmes, les interfaces et les fonctionnalités de base.
** Proposer trois solutions possibles pour protéger au mieux un logiciel.	Il est possible d’effectuer un dépôt privé auprès d’un officier ministériel (notaire, huissier), de l’INPI ou de l’APP (Agence pour la protection des programmes).
** Déterminer de combien de temps dispose l’auteur d’un logiciel pour faire valoir ses droit en justice en cas de contrefaçon de logiciel.	Depuis la loi LOPPSI 2 de 2014, les délais de prescription sont de 5 ans aussi bien pour l’action civile que pour l’action pénale.
** Lister différentes sanctions que l’auteur d’un logiciel peut obtenir en justice en cas d’action en contrefaçon.	Au pénal : un amende et/ou une peine d’emprisonnement, Au civil : des dommages et intérêt, la publication de la sanction et le retrait des produits contrefaits (réparation en nature).
** Expliquer le rôle de l’APP en cas de litige en matière de droit d’auteur d’un logiciel.	L’APP ne fait que délivrer un constat de dépôt du logiciel pour prouver l’antériorité de l’œuvre. L’auteur doit ensuite agir en justice pour faire reconnaître ses droits. L’APP n’a donc aucun rôle à jouer en cas de litige. Ce n’est pas une juridiction.
** Définir une licence de logiciel clic-wrap.	C’est une licence numérique qui est acceptée par l’utilisateur lorsqu’il clique volontairement sur un bouton de type « j’accepte », « I agree », « suivant », « Yes ».
* Déterminer si le contrat de licence est un contrat d’adhésion.	OUI, puisque seul le titulaire des droits d’auteur sur le logiciel peut fixer les termes du contrat de licence.
** Préciser si un logiciel du domaine public dispose d’un contrat de licence.	NON, le contrat de licence n’a plus lieu d’être. Le logiciel peut désormais être exploité par n’importe qui, sous quelque forme que se soit.
*** Une licence attribuée à un serveur, qui donne l’accès au logiciel aux utilisateurs en fonction des demandes sur le réseau, est-elle une licence fixe ou une licence flottante ?	Il s’agit d’une licence flottante. + Justification.
* Citer deux noms permettant de désigner les licences de logiciel libre.	On peut parler de licence libre, de licence open-source ou de licence creative commons.
* Citer deux exemples de licence en copyleft.	La licence GPL et la licence CeCILL
** Déterminer si la licence GPL donne naissance à une œuvre de collaboration ou à une œuvre collective.	Elle donne naissance à une œuvre de collaboration.
* Préciser la signification de l’acronyme BSD.	Berkeley Software Distribution.
** En matière de logiciel, présenter les deux intérêts principaux d’une licence double.	1/ De profiter gratuitement des apports en R&D de la communauté (pour la version disponible du logiciel). 2/ De développer son chiffre d’affaires et sa clientèle (pour la partie privative du logiciel).
*** Expliquer comment s’organise la protection des bases de données.	(Développer la réponse). La structure de la base de données est protégée par le droit d’auteur à condition qu’elle soit originale. Tandis que l’investissement engagé pour compléter la base de données est protégé par le droit du producteur.
*** La BDD financée par NUM’online a été illicitement reproduite par IT’line. Déterminer le statut de NUM’online et l’action en justice envisageable pour obtenir réparation.	1/ NUM’online est producteur de la BDD + justification 2/ Action pour atteinte aux droits du producteur devant le TGI (dommages et intérêts).
** Hormis le droit d’auteur, présenter l’autre modalité de protection dont bénéficie la BDD depuis 1998.	Depuis la loi de 1998, les BDD bénéficient également de la protection par le droit « sui generis » du producteur. + Explication.
** Présenter les prérogatives du producteur d’une base de données.	Le producteur d’une BDD peut interdire l’extraction partielle ou totale, de données quantitativement ou qualitativement substantielles de la BDD (article L342-1 CPI).
* Le producteur de BDD peut interdire les extractions à des fins privées. Vrai ou Faux ?	Faux, c’est une limite posée par la loi.
** Préciser la durée de protection des droits du producteur de BDD.	Les prérogatives du producteur sont limitées à 15 ans à partir de la 1ère mise à disposition de la BDD au public. Ce délai est relancé à chaque nouvel investissement substantiel sur la base.
** Préciser les sanctions pénales pour un contrefacteur de BDD qui agit seul.	Une personne seule : 3ans emprisonnement et/ou 300 000€ d’amende
* Présenter la DCRI.	C’est la Direction Centrale du Renseignement Intérieur. Elle intervient dans les entreprises pour les sensibiliser sur les risques qu’elles peuvent rencontrer dans le domaine de la sécurité.
** Préciser comment assurer l’intégrité des données sur le réseau.	En mettant en œuvre des mesures préventives pour éviter les intrusions, les virus, les pannes, les maladresses. Mais aussi en mettant en place des mesures curatives lorsque le danger s’est réalisé.
* Nommer la loi française assurant la protection des données à caractère personnel.	La loi de 1978 Informatique et liberté. (Nom + date attendu)
** Préciser si un logiciel peut-il appartenir au domaine public dès sa création.	Un logiciel peut appartenir au domaine public dès sa création si son auteur en a voulu ainsi.
* Présenter les prérogatives d’un propriétaire.	Il dispose de l’USUS (droit d’utiliser la chose), du FRUCTUS (droit d’en récolter les fruits) et de l’ABUSUS (droit de disposer de la chose, par exemple la vendre, la transformer, la détruire).
** Proposer 3 régimes différents de protection accordés par le code de la propriété intellectuelle.	Le code de la propriété intellectuelle propose différentes protections : le droit des brevets, le droit des marques, le droit des dessins et modèles, le droit d’auteur.
** Expliquer à quelle condition une œuvre de l’esprit peut faire l’objet d’une protection par le droit de la propriété intellectuelle.	A condition d’être originale c’est-à-dire nouvelle, inventive et qui apporte quelque chose de nouveau à l’état de l’art existant.
* Citer la date de la loi française qui accepte la protection des logiciels par le droit d’auteur. 	C’est la loi du 3 juillet 1985, relative aux droits d'auteur et aux droits des artistes-interprètes, des producteurs de phonogrammes et de vidéogrammes et des entreprises de communication audiovisuelle.
** Présenter les deux prérogatives de l’auteur d’un logiciel.	Il bénéficie de droits patrimoniaux (droit de vendre, de reproduire, de traduire, d’adapter l’œuvre et de la mettre sur le marché) et de droits moraux restreints (droit à la paternité de l’œuvre et à sa divulgation).
** Expliquer la répartition des droits entre les salariés qui ont participé à la conception d’un logiciel et leur employeur.	Les salariés ne conservent que le droit à la paternité de l’œuvre. Les droits patrimoniaux ainsi que les autres droits moraux sont transférés à la personne morale qui les emploie.
* Lister trois éléments d’un logiciel protégeables par le droit d’auteur.	Le droit d’auteur permet de protéger le code source, le code objet, l’architecture du programme, les différentes versions, les écrans et modalités d’interactivité originaux, les fonctionnalités spécifiques,…
** Présenter l’APP.	C’est l’agence pour la protection des programmes. Association loi 1901, l’APP est chargée de recueillir et de dater les dépôts de logiciels en leur attribuant un identifiant international IDDN (Inter Deposit Digital Number).
*** La société X propose un logiciel similaire à celui qui a été créé par la société Y. Préciser le fondement de l’action en justice engagée par l’entreprise Y.	Elle peut engager une action en concurrence déloyale et/ou une action en contrefaçon. Cas pratique attendu.
* Choisir le tribunal compétent en cas d’action en concurrence déloyale.	Le TGI a la compétence d’attribution.
** Définir la licence de logiciel.	C’est un contrat par lequel le titulaire des droits d'auteur sur un programme informatique détermine les conditions dans lesquelles ce programme peut être utilisé, diffusé ou modifié.
** Définir une licence de logiciel browse-wrap.	C’est une licence numérique qui est acceptée par l’utilisateur par simple navigation sur le site internet (très utilisée aux USA). L’utilisateur lit ainsi seulement les éléments importants de la licence dans un langage à sa portée.
** Identifier les droits que l’auteur du logiciel peut aménager dans le cadre d’un contrat de licence.	Il peut aménager le droit d’effectuer et d’autoriser la reproduction, la traduction, l’adaptation, l’arrangement et la mise sur le marché du logiciel.
* Citer deux autres noms pour désigner la licence propriétaire.	On peut aussi parler de licence privative, de licence commerciale et surtout de licence CLUF (Contrat de Licence Utilisateur Final).
** Présenter la licence nominative.	C’est une licence de logiciel propriétaire attribuée à un utilisateur particulier, qui peut l'installer sur tout ordinateur lui appartenant, mais il est le seul utilisateur agréé à exploiter cette licence.
* Nommer l’auteur à l’origine de la licence de logiciel libre.	Richard Matthew Stallman (le concepteur de la licence GNU GPL).
* Donner la signification de l’acronyme GPL.	General Public License.
** Identifier le problème que pose actuellement la licence GPL en France.	Cette licence a été rédigée en anglais par la Free Software Foundation. La barrière de la langue peut poser problème en France.
* Préciser la signification du X dans licence X.	Ce sont des licences créées par le consortium X.
* Citer un exemple de logiciel proposant une licence double.	Red Hat, Zimbra, Alfresco, MySQL par exemple.
*** Déterminer à quelle condition une BDD peut bénéficier de la protection par les droits d’auteur.	 A condition d’être originale cad qu’elle soit emprunte de la personnalité de son auteur, qu’elle soit inventive par le choix (sélection du contenu), la disposition ou le mode d'assemblage des informations.
*** Si le délit de contrefaçon de BDD est reconnu, préciser les sanctions possibles que le juge peut prononcer à l’encontre du contrefacteur.	Délit = action pénale. Le juge peut alors prononcer une peine d’amende (300 000€) et/ou d’emprisonnement (3ans) et accorder des dommages et intérêts à la victime si elle s’est portée partie civile.
* En matière de BDD, expliquer si la protection de l’auteur et la protection du producteur sont liées.	NON, ce sont deux modalités de protection indépendantes.
** Expliquer ce qu’est une extraction quantitativement substantielle de données d’une BDD.	Cela signifie que le volume de données extraites de la BDD est considéré par le juge comme trop important.
* Le producteur de BDD ne peut pas interdire les extractions aux fins d’adaptation de la BDD à des personnes handicapées. Vrai ou Faux ?	Vrai, c’est une autorisation posée par la loi.
** Déterminer l’action en justice que le producteur peut engager à l’encontre d’une personne qui a extrait illégalement des données de sa BDD.	Il peut engager une action en contrefaçon, en civil et/ou au pénal.
** Citer trois sanctions civiles qu’un juge peut appliquer à un contrefacteur de BDD.	Le versement de dommages et intérêts, la suppression des données illégalement extraites, l’interdiction de la poursuite de l’exploitation, la confiscation de la recette obtenue grâce à la contrefaction, la publication de la sanction.
* Présenter l’ANSSI.	Agence Nationale de Sécurité des Systèmes d’Information. Elle est chargée de proposer les règles à appliquer pour la protection des SI de l’État et de vérifier l’application des mesures adoptées.
** Définir une donnée à caractère personnel.	C’est une donnée qui permet d’identifier une personne physique et de la distinguer des autres personnes physiques.
**Citer 4 droits attachés à la personne dont les données à caractère personnel ont été collectées.	1/ Droit d’accès aux données 2/ Droit de rectification 3/ Droit d’opposition 4/ Droit à l’oubli.
** Préciser les sanctions pénales pour un contrefacteur de BDD qui agit en bande organisé.	Bande organisée : 5 ans et/ou 500 000€.
* Préciser sur quel type de biens s’applique le droit de propriété.	Il s’applique sur les biens meubles (qui peuvent être déplacés) et sur les biens immeubles (qui sont attachés au sol). Explication des termes « meuble » et « immeuble » indispensables.
* Définir la notion d’œuvre de l’esprit.	Une œuvre de l’esprit est une création issue de la pensée humaine et qui est emprunte de la personnalité de son auteur.
** Définir le logiciel.	C’est un ensemble de programmes, et éventuellement la documentation, relatifs au fonctionnement d'un ensemble de traitements de l'information. (arrêté du 22/12/81)
* Citer quatre exemples d’œuvres littéraires et artistiques protégeables par le droit d’auteur.	Les livres, les articles de journaux, les conférences, les pièces de théâtre, le cinéma, la musique, la danse, la chorégraphies, les logiciels... (article L 112-2 CPI).
** En matière de logiciel, distinguer les œuvres de collaboration et les œuvres collectives.	Œuvre de collaboration : œuvre qui appartient aux différents co-auteurs qui ont participé à son élaboration (ex : logiciel libre). Œuvre collective : œuvre réalisée par des salariés pour le compte d’une personne morale.
* Le salarié qui a participé à la conception d’un logiciel propriétaire dispose du monopole d’exploitation du logiciel. Vrai ou Faux ?	Faux, ce droit est transféré à la personne morale qui l’emploie.
**Préciser la procédure à suivre pour protéger un logiciel par le droit d’auteur.	Il n’y a en réalité aucune formalité à accomplir. La protection existe à partir du moment où le logiciel existe.
** Déterminer l’action en justice que l’auteur-victime peut engager en cas de copie d’un logiciel.	Il peut engager une action en contrefaçon, soit au civil, soit au pénal.
** Expliquer comment prouver la concurrence déloyale.	L’action en concurrence déloyale permet de mettre en œuvre la responsabilité de son auteur en rapportant la preuve d’une faute, d’un dommage et d’un lien de causalité entre la faute et le dommage.
* Choisir le tribunal compétent en cas d’action en contrefaçon de logiciel.	En cas d’action pénale : le tribunal correctionnel, En cas d’action civile : le TGI.
* La licence de logiciel est un contrat solennel. Vrai ou faux ?	Vrai, l’écrit est une condition de validité du contrat.
** Définir une licence de logiciel shrink-wrap.	On considère que les termes du contrat de cette licence numérique sont acceptés par l’utilisateur lorsqu’il ôte l’emballage qui entoure le logiciel et lorsqu’il l’installe sur son ordinateur.
** Expliquer si l’existence d’un contrat de licence fait perdre son droit d’auteur au concepteur du logiciel.	NON, le concepteur restera toujours l’auteur du logiciel. Il accepte seulement que l’exploitation du logiciel soit réalisée par des tiers.
** Préciser le contenu d’une licence propriétaire.	Cette licence encadre le droit d’installation, le droit de copie du logiciel, le droit de décompilation (pour atteindre le code source) et le droit de diffusion publique de l’œuvre.
** Préciser si l’auteur d’un logiciel peut interdire dans un contrat de licence la copie privée.	NON, la copie privée est un droit reconnu à chacun par la loi.
** Préciser si le logiciel libre s’accompagne d’une licence.	OUI, un logiciel libre possède une licence et conserve son auteur.
* Donner la signification de l’acronyme CeCILL.	C’est une licence française inspirée de la licence GPL. CeCILL est l’abréviation de « CEA CNRS INRIA logiciel libre ».
** Justifier l’existence la licence CeCILL en France. (2 raisons différentes)	1/ Pour contourner la barrière de la langue de la licence GPL. 2/ Pour adapter la licence GPL au droit français.
** Indiquer la particularité des licences non copyleftées.	Le code source de départ est libre. Les copies de ce code sont autorisées. Mais les versions nouvelles peuvent devenir privatives. Ces licences ne sont pas contaminentes. EX : BSD, X.
** Donner la définition d’une base de données au sens de l’article L112-3 du code de la propriété intellectuelle.	C’est un « recueil d'œuvres, de données ou d'autres éléments indépendants, disposés de manière systématique ou méthodique, et individuellement accessibles par des moyens électroniques ou par tout autre moyen ».
** Préciser qui apprécie le caractère original d’une BDD ou d’un logiciel.	 Le critère d’originalité relève de l’appréciation souveraine du juge.
** Préciser contre quels types d’agissements, l’auteur d’une BDD peut s’opposer.	Il peut s’opposer à la reproduction, la représentation, intégrale ou partielle, sans son autorisation de la BDD.
** Présenter le producteur de BDD.	C’est une personne physique ou morale qui a pris l'initiative et le risque des investissements matériels, financiers, humains lors de la réalisation de la BDD.
** Expliquer ce qu’est une extraction qualitativement substantielle de données d’une BDD.	Cela signifie que le type de données extraites de la BDD est considéré par le juge comme sensibles, importantes.
* Déterminer si les BDD constituées par une entreprise appartiennent à son patrimoine informationnel.	OUI
** Déterminer qui supporte la charge de la preuve si le producteur d’une BDD engage une action en contrefaçon au civil.	C’est celui qui engage l’action en justice, par conséquent le producteur.
** Nommer la norme internationale garantissant la sécurisation des données au sein des entreprises.	C’est la norme ISO 27 000.
** Définir la notion d’archivage électronique.	L’archivage électronique permet la conservation de documents ayant une valeur juridique ou non, mais ayant une valeur économique certaine pour l’entreprise.
** Définir un traitement de données à caractère personnel.	Cela concerne toute opération portant sur des DCP, quel que soit le procédé utilisé, […] ». (article 2 alinéa 3 de la LIL de 1978)
** Expliquer ce qu’est une licence virale (ou contaminente).	Une licence virale ou contaminente est une licence qui s’étend automatiquement et sans démarche nouvelle aux évolutions, nouvelles versions, nouvelles lignes de codes créées à partir de ligne de code déjà soumis à cette licence.
